model_name,n_states,metric_name,value
video_only,4,event_detection_contrast,0.10454270678701705
video_only,4,state_purity_by_event_phase,0.7241379310344828
video_only,4,time_to_detect_minutes,
video_only,4,false_positive_rate_outside_event_window,0.0
video_only,4,log_likelihood_per_sample,1.9230604758798515
video_only,4,posterior_confidence_mean,0.9817685120571841
video_only,4,posterior_confidence_during_event,1.0
video_only,4,risk_mean_baseline,0.6377700008136498
video_only,4,risk_mean_during_event,0.7423127076006668
video_only,4,risk_mean_recovery,0.4786161338007123
video_audio_env,4,event_detection_contrast,0.041451107953360045
video_audio_env,4,state_purity_by_event_phase,0.8915161466885605
video_audio_env,4,time_to_detect_minutes,0.03333333333333333
video_audio_env,4,false_positive_rate_outside_event_window,0.30569765390721465
video_audio_env,4,log_likelihood_per_sample,-3.43089260594994
video_audio_env,4,posterior_confidence_mean,0.9975671550074342
video_audio_env,4,posterior_confidence_during_event,0.9995854220218948
video_audio_env,4,risk_mean_baseline,0.6926661956199192
video_audio_env,4,risk_mean_during_event,0.7341173035732792
video_audio_env,4,risk_mean_recovery,0.6937778038842305
